FileName,Title,Subject,Description,Creator,Source,Publisher,Date,Contributor,Rights,Relation,Format,Language,Type,Identifier,Coverage,Transcription,Text,Original Format
http://nazitunnels.org/ushmm-images/194x.04.10--1_To_From.png,Letter to To from From,,"uebernahme durch SS-Gruf. Nebe kommt nicht in Frage – wenn, dann durch SS-Ogruf. Pohl",Creator Unkown,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,10/04/1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,German,,194x.04.10--1_To_From,,,,Paper
http://nazitunnels.org/ushmm-images/194x.xx.xx--1_Brandt_Kammler-English.png,Letter to Brandt from Kammler,,English,Kammler,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,English,,194x.xx.xx--1_Brandt_Kammler-English,,,,Paper
http://nazitunnels.org/ushmm-images/194x.xx.xx--1_Frosch_From.png,Letter to Frosch from From,,Saur writes that Halle 1 will be ready September 15,Creator Unkown,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,German,,194x.xx.xx--1_Frosch_From,,,,Paper
http://nazitunnels.org/ushmm-images/194x.xx.xx--1_Himmler_Saur-English.png,Letter to Himmler from Saur,,English,Saur,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,English,,194x.xx.xx--1_Himmler_Saur-English,,,,Paper
http://nazitunnels.org/ushmm-images/194x.xx.xx--1_To_From-HandDrawnMapEnglish.png,Letter to To from From,,HandDrawnMapEnglish,Creator Unkown,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,English,,194x.xx.xx--1_To_From-HandDrawnMapEnglish,,,,Paper
http://nazitunnels.org/ushmm-images/194x.xx.xx--1_To_From-HandwrittenNote.png,Letter to To from From,,HandwrittenNote,Creator Unkown,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,German,,194x.xx.xx--1_To_From-HandwrittenNote,,,,Paper
http://nazitunnels.org/ushmm-images/194x.xx.xx--2_To_From-HandwrittenNote.png,Letter to To from From,,HandwrittenNote,Creator Unkown,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,German,,194x.xx.xx--2_To_From-HandwrittenNote,,,,Paper
http://nazitunnels.org/ushmm-images/194x.xx.xx-DLB10-1_Berger_Kammler.png,Letter to Berger from Kammler,RAD- Unterkuenfte Hersbruck und St. Margarethen,,Kammler,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,1944,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,German,,194x.xx.xx-DLB10-1_Berger_Kammler,,,,Paper
http://nazitunnels.org/ushmm-images/1939.11.06-2657-1_To_From-HandDrawnGraph.png,Letter to To from From,,HandDrawnGraph,Creator Unkown,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,06/11/1939,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,German,,1939.11.06-2657-1_To_From-HandDrawnGraph,,,,Paper
http://nazitunnels.org/ushmm-images/1943.06.20--1_To_Heicke.png,Letter to To from Heicke,,King Henry Celebration in Quedlinburg,Heicke,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",,20/06/1943,Ammon Shepherd,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",Underground Dispersal Projects,,German,,1943.06.20--1_To_Heicke,,"Seit dem vorigen Jahr sind im Heinrichsdom zu Quedlinburg folgende Arbeiten ausgefuehrt worden:

Mit Ruecksicht auf die zunehmende Verschaerfung der Fliegergefahr war es unabweisbar, alle durchfuehrbaren Schutzmassnahmen gegen die Auswirkung eines Brandes zu treffen; zumal die Decken aus Holz bestehen. Es war daher notwendig, die Dachverbaende zu impraegnieren und den Dachboden mit einem Estrich zu versehen; auch Öffnungen, durch die das Feuer sich weiter fortpflanzen kann, zu schliessen oder sonst zu sichern. Die Glasmalereien von Professor Geiges in den Fenstern der Seitenschiffe wurden ausgebaut, um diese kuenstlerisch bedeutenden Werke zu bergen, zumal ihre Entfernung aus den Fenstern ohnehin vom Reichsfuehrer gewuenscht war. Im uebrigen had der bejahrte Steinbildhauer Striebig in Quedlinburg, der fuer einen Arbeitseinsatz an anderer Stelle nicht in Frage kam, in wesentlichen mit nur einem einzigen Gehilfen, der ihm belassen war, eine Reihe von wenig umfangreichen, keinerlei bewirftschaftete Baustoffe erfordernden Nacharbeiten im Inne n des Chors ausgefuehrt, um wenigstens einem vorlaeufigen Abschluss der seit langem schwebenden Instandsetzung dieses Raumteiles zu erzielen, wodurch die empfindlich auffallenden, noch verbliebenen Löcken ergaenzt wurden, damit wenigstens ein ordentlicher, der wichtigen Staette wuerdiger Eindruck entstand. Weitergehende, auch seitens der SS gewuenschte Arbeiten, wie z. B. dieHeizunsanlage, der Einbau der Treppe von den Grueften unter dem suedlichen Seitenschiff zum Schiff, mussten unter den jetzigen Umstaenden naturgemaess unterbleiben. Ebenso wurde selbstverstaendlich auf die malerische Behandlung der neuen Balkendecke des Chors verzichtet, so bedauerlich s ist, dass der Raumeindruck darunter enpfindlich leidet. Die am Rande der Apside aufgestellten schmiedeeisernen Standleuchter, die Julius Schramm mit Zustimmung der fuer seine werkstatt zustaendigen Stelle geschaffen hat, waren bereits vor laengerer Zeit fertig.

20. Juni 1943

gez. Hiecke

F.d.R

SS-Obersturmfuehrer","Seit dem vorigen Jahr sind im Heinrichsdom zu Quedlinburg folgende Arbeiten ausgefuehrt worden:

Mit Ruecksicht auf die zunehmende Verschaerfung der Fliegergefahr war es unabweisbar, alle durchfuehrbaren Schutzmassnahmen gegen die Auswirkung eines Brandes zu treffen; zumal die Decken aus Holz bestehen. Es war daher notwendig, die Dachverbaende zu impraegnieren und den Dachboden mit einem Estrich zu versehen; auch Öffnungen, durch die das Feuer sich weiter fortpflanzen kann, zu schliessen oder sonst zu sichern. Die Glasmalereien von Professor Geiges in den Fenstern der Seitenschiffe wurden ausgebaut, um diese kuenstlerisch bedeutenden Werke zu bergen, zumal ihre Entfernung aus den Fenstern ohnehin vom Reichsfuehrer gewuenscht war. Im uebrigen had der bejahrte Steinbildhauer Striebig in Quedlinburg, der fuer einen Arbeitseinsatz an anderer Stelle nicht in Frage kam, in wesentlichen mit nur einem einzigen Gehilfen, der ihm belassen war, eine Reihe von wenig umfangreichen, keinerlei bewirftschaftete Baustoffe erfordernden Nacharbeiten im Inne n des Chors ausgefuehrt, um wenigstens einem vorlaeufigen Abschluss der seit langem schwebenden Instandsetzung dieses Raumteiles zu erzielen, wodurch die empfindlich auffallenden, noch verbliebenen Löcken ergaenzt wurden, damit wenigstens ein ordentlicher, der wichtigen Staette wuerdiger Eindruck entstand. Weitergehende, auch seitens der SS gewuenschte Arbeiten, wie z. B. dieHeizunsanlage, der Einbau der Treppe von den Grueften unter dem suedlichen Seitenschiff zum Schiff, mussten unter den jetzigen Umstaenden naturgemaess unterbleiben. Ebenso wurde selbstverstaendlich auf die malerische Behandlung der neuen Balkendecke des Chors verzichtet, so bedauerlich s ist, dass der Raumeindruck darunter enpfindlich leidet. Die am Rande der Apside aufgestellten schmiedeeisernen Standleuchter, die Julius Schramm mit Zustimmung der fuer seine werkstatt zustaendigen Stelle geschaffen hat, waren bereits vor laengerer Zeit fertig.

20. Juni 1943

gez. Hiecke

F.d.R

SS-Obersturmfuehrer",Paper
